"Title";"Directors";"País";"Año";"Género";"Actores";"UserRating";"FArating";"NúmeroVotos"
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Robin Williams";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Kirsten Dunst";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"David Alan Grier";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Bonnie Hunt";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Jonathan Hyde";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Bradley Pierce";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Bebe Neuwirth";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Adam Hann-Byrd";"8";"6.3";"61,344 "
"Jumanji ";"Joe Johnston";"United States";"1995";"Fantasy";"Patricia Clarkson";"8";"6.3";"61,344 "
"Toy Story ";"John Lasseter";"United States";"1995";"Animation";"No Actores";"7";"7.7";"155,803 "
"Aladdin ";"John Musker";"United States";"1992";"Animation";"No Actores";"5";"7.4";"102,255 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Sam Neill";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Laura Dern";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Jeff Goldblum";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Richard Attenborough";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Ariana Richards";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Joseph Mazzello";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Wayne Knight";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Samuel L. Jackson";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Bob Peck";"8";"7.0";"143,343 "
"Jurassic Park ";"Steven Spielberg";"United States";"1993";"Sci-Fi";"Martin Ferrero";"8";"7.0";"143,343 "
"Ghostbusters ";"Ivan Reitman";"United States";"1984";"Comedy";"Bill Murray";"6";"6.5";"114,778 "
"Ghostbusters ";"Ivan Reitman";"United States";"1984";"Comedy";"Dan Aykroyd";"6";"6.5";"114,778 "
"Ghostbusters ";"Ivan Reitman";"United States";"1984";"Comedy";"Sigourney Weaver";"6";"6.5";"114,778 "
"Ghostbusters ";"Ivan Reitman";"United States";"1984";"Comedy";"Harold Ramis";"6";"6.5";"114,778 "
"Ghostbusters ";"Ivan Reitman";"United States";"1984";"Comedy";"Ernie Hudson";"6";"6.5";"114,778 "
"Ghostbusters ";"Ivan Reitman";"United States";"1984";"Comedy";"Rick Moranis";"6";"6.5";"114,778 "
"Ghostbusters ";"Ivan Reitman";"United States";"1984";"Comedy";"William Atherton";"6";"6.5";"114,778 "
