"Title";"Directors";"País";"Año";"Género";"Actores";"UserRating";"FArating";"NúmeroVotos"
"Titanic ";"James Cameron";"United States";"1997";"Romance";"Bernard Hill";"6";"6.8";"176,810 "
"Titanic ";"James Cameron";"United States";"1997";"Romance";"David Warner";"6";"6.8";"176,810 "
"Titanic ";"James Cameron";"United States";"1997";"Romance";"Victor Garber";"6";"6.8";"176,810 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Hugh Jackman";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Michelle Williams";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Zac Efron";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Zendaya";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Rebecca Ferguson";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Diahann Carroll";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Fredric Lehne";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Keala Settle";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Yahya Abdul-Mateen II";"8";"6.8";"16,267 "
"The Greatest Showman ";"Michael Gracey";"United States";"2017";"Musical";"Isaac Eshete";"8";"6.8";"16,267 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Amy Adams";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Jeremy Renner";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Forest Whitaker";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Michael Stuhlbarg";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Mark O'Brien";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Nathaly Thibault";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Pat Kiely";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Joe Cobden";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Tzi Ma";"8";"7.3";"58,994 "
"Arrival ";"Denis Villeneuve";"United States";"2016";"Sci-Fi";"Julian Casey";"8";"7.3";"58,994 "
"Mary Poppins ";"Robert Stevenson";"United States";"1964";"Musical";"No Actores";"7";"7.1";"89,925 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Naomi Watts";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Ewan McGregor";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Tom Holland";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Geraldine Chaplin";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Oaklee Pendergast";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Samuel Joslin";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Dominic Power";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Sönke Möhring";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Olivia Jackson";"5";"6.8";"69,320 "
"The Impossible ";"J.A. Bayona";"Spain";"2012";"Drama";"Natalie Lorence";"5";"6.8";"69,320 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Nicole Kidman";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Ewan McGregor";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"John Leguizamo";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Jim Broadbent";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Richard Roxburgh";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"David Wenham";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Jacek Koman";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Kylie Minogue";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Garry McDonald";"7";"6.8";"126,726 "
"Moulin Rouge ";"Baz Luhrmann";"Australia";"2001";"Musical";"Matthew Whittet";"7";"6.8";"126,726 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Bradley Cooper";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Jennifer Lawrence";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Robert De Niro";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Jacki Weaver";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Chris Tucker";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Matthew Russell";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Julia Stiles";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Anupam Kher";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"John Ortiz";"7";"6.6";"62,602 "
"Silver Linings Playbook ";"David O. Russell";"United States";"2012";"Romance";"Shea Whigham";"7";"6.6";"62,602 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Frances McDormand";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Woody Harrelson";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Sam Rockwell";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"John Hawkes";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Peter Dinklage";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Caleb Landry Jones";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Lucas Hedges";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Abbie Cornish";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Brendan Sexton III";"7";"7.6";"45,543 "
"Three Billboards Outside Ebbing Missouri ";"Martin McDonagh";"United Kingdom";"2017";"Thriller";"Samara Weaving";"7";"7.6";"45,543 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"John Travolta";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Samuel L. Jackson";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Uma Thurman";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Bruce Willis";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Ving Rhames";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Harvey Keitel";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Tim Roth";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Amanda Plummer";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"María de Medeiros";"9";"8.6";"197,778 "
"Pulp Fiction ";"Quentin Tarantino";"United States";"1994";"Thriller";"Eric Stoltz";"9";"8.6";"197,778 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Audrey Tautou";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Mathieu Kassovitz";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Rufus Magloire";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Lorella Cravotta";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Serge Merlin";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Jamel Debbouze";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Claire Maurier";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Clotilde Mollet";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Isabelle Nanty";"6";"7.8";"154,209 "
"Amelie ";"Jean-Pierre Jeunet";"France";"2001";"Comedy";"Dominique Pinon";"6";"7.8";"154,209 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Samuel L. Jackson";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Kurt Russell";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Jennifer Jason Leigh";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Walton Goggins";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Tim Roth";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Demian Bichir";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Michael Madsen";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Bruce Dern";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"James Parks";"7";"7.3";"58,984 "
"The Hateful Eight ";"Quentin Tarantino";"United States";"2015";"Western";"Channing Tatum";"7";"7.3";"58,984 "
"One Flew Over the Cuckoo's Nest ";"Milos Forman";"United States";"1975";"Drama";"Jack Nicholson";"8";"8.3";"107,828 "
"One Flew Over the Cuckoo's Nest ";"Milos Forman";"United States";"1975";"Drama";"Louise Fletcher";"8";"8.3";"107,828 "
"One Flew Over the Cuckoo's Nest ";"Milos Forman";"United States";"1975";"Drama";"Brad Dourif";"8";"8.3";"107,828 "
"One Flew Over the Cuckoo's Nest ";"Milos Forman";"United States";"1975";"Drama";"William Redfield";"8";"8.3";"107,828 "
"One Flew Over the Cuckoo's Nest ";"Milos Forman";"United States";"1975";"Drama";"Mews Small";"8";"8.3";"107,828 "
"One Flew Over the Cuckoo's Nest ";"Milos Forman";"United States";"1975";"Drama";"Sydney Lassick";"8";"8.3";"107,828 "
